shift-67e3037cbfbc7 Friday Blackwell 10:00 13:00 180 3.000000 2009-02-06T10:00:00-05:00
shift-67e3037cbfc95 Saturday Devilbiss 09:00 12:00 180 3.000000 2009-02-07T09:00:00-05:00
shift-67e3037cbfe97 Monday Parking+Office 06:00 09:00 180 3.000000 2009-02-09T06:00:00-05:00
shift-67e3037cbfa2a Monday Parking+Office 09:00 10:00 60 1.000000 2009-02-09T09:00:00-05:00
shift-67e3037cbf9f0 Monday Parking+Office 11:00 12:00 60 1.000000 2009-02-09T11:00:00-05:00
shift-67e3037cbfcfc Monday Parking+Office 14:00 15:00 60 1.000000 2009-02-09T14:00:00-05:00
shift-67e3037cbfec8 Monday Henson 15:00 18:00 180 3.000000 2009-02-09T15:00:00-05:00
shift-67e3037cbfd89 Tuesday Parking+Office 08:00 09:00 60 1.000000 2009-02-10T08:00:00-05:00
shift-67e3037cbfab4 Tuesday Parking+Office 10:00 11:00 60 1.000000 2009-02-10T10:00:00-05:00
shift-67e3037cbfa86 Tuesday Parking+Office 12:00 13:00 60 1.000000 2009-02-10T12:00:00-05:00
shift-67e3037cbff99 Tuesday Parking+Office 15:00 16:00 60 1.000000 2009-02-10T15:00:00-05:00
shift-67e3037cbfb99 Wednesday UC 10:00 11:00 60 1.000000 2009-02-11T10:00:00-05:00
shift-67e3037cbfb6c Wednesday Fulton 11:00 12:00 60 1.000000 2009-02-11T11:00:00-05:00
shift-67e3037cbfb3b Wednesday Parking+Office 12:00 13:00 60 1.000000 2009-02-11T12:00:00-05:00
shift-67e3037cc0007 Wednesday Devilbiss 14:00 17:00 180 3.000000 2009-02-11T14:00:00-05:00
