shift-67e3037cc0d17 Friday Blackwell 10:00 13:00 180 3.000000 2009-03-06T10:00:00-05:00
shift-67e3037cc0e23 Monday Parking+Office 06:00 09:00 180 3.000000 2009-03-09T06:00:00-04:00
shift-67e3037cc03c0 Monday Parking+Office 08:00 09:00 60 1.000000 2009-03-09T08:00:00-04:00
shift-67e3037cc074b Monday Parking+Office 11:00 12:00 60 1.000000 2009-03-09T11:00:00-04:00
shift-67e3037cc0617 Monday Parking+Office 13:00 14:00 60 1.000000 2009-03-09T13:00:00-04:00
shift-67e3037cc0e5f Monday Henson 15:00 18:00 180 3.000000 2009-03-09T15:00:00-04:00
shift-67e3037cc067d Tuesday Parking+Office 10:00 11:00 60 1.000000 2009-03-10T10:00:00-04:00
shift-67e3037cc06b0 Tuesday Parking+Office 12:00 13:00 60 1.000000 2009-03-10T12:00:00-04:00
shift-67e3037cc0e99 Tuesday Parking+Office 15:00 16:00 60 1.000000 2009-03-10T15:00:00-04:00
shift-67e3037cc0ed1 Wednesday Parking+Office 03:00 06:00 180 3.000000 2009-03-11T03:00:00-04:00
shift-67e3037cc0496 Wednesday Parking+Office 08:00 09:00 60 1.000000 2009-03-11T08:00:00-04:00
shift-67e3037cc0464 Wednesday Parking+Office 10:00 11:00 60 1.000000 2009-03-11T10:00:00-04:00
shift-67e3037cc0f0a Wednesday Devilbiss 14:00 17:00 180 3.000000 2009-03-11T14:00:00-04:00
